"BomOnly","Official","MatchType"
"Achempak Lithuania","ACHEMPAK","contains"
"Adani","Adani Ports and SEZ Ltd.","contains"
"Adani Ports and SEZ Ltd","Adani Ports and SEZ Ltd.","contains"
"AGROLITPA","Agrolitpa Italy","contains"
"AGROMAS","AGROMAS SA","contains"
"Andrea Cardoso","Andrea Cardoso Alves","contains"
"Arrow","ARROW ASSOCIATES","contains"
"BAG SUPPLIES","BAG SUPPLIES CANAADA LTD","contains"
"Balcon","BALCON ENTERPRISES INC","contains"
"Balcon Enterprise","BALCON ENTERPRISES INC","contains"
"Balcon Enterprises Inc.","BALCON ENTERPRISES INC","contains"
"BAOBAG","Baobag","exact"
"Baobag Italy","Baobag","contains"
"BAOBAG SAs","Baobag","contains"
"S.A.S BAOBAG","Baobag","contains"
"S.A.S. Baobag","Baobag","contains"
"Barcelona Inquiry","Barcelona","contains"
"BERG BAG","BERG BAG COMPANY","contains"
"RAPID PACKAGING, INC.  DBA BERG BAG COMPANY","BERG BAG COMPANY","contains"
"Bohemia Bag s.r.o","Bohemia Bag S.R.O.","contains"
"BOLPAMUR .S.L","BOLPAMUR","contains"
"BOLPAMUR S.L","BOLPAMUR","contains"
"BOLPAMUR S.L.","BOLPAMUR","contains"
"Bolpamur SL","BOLPAMUR","contains"
"Bolpamur, S.L.","BOLPAMUR","contains"
"minifatture bonzagni m.b r","BONZAGNI","contains"
"Boxon","Boxon Bags AB","contains"
"BRATPOL POLAND","Bratpol","contains"
"BratPol.Pl","Bratpol","contains"
"Bulk bag Depot","BULK BAG DEPOT","exact"
"BULK HANDLING","BULK HANDLING AUSTRALIA","contains"
"BULK MOTION FIBC GMBH & CO. KG","BULK MOTION","contains"
"Atlantic bag","C BAG","contains"
"Batec Bag","C BAG","contains"
"FIBC BAG (RED)","C BAG","contains"
"Gelpac Bags Inc.","C BAG","contains"
"PACIFIC BAGS","C BAG","contains"
"Carbognani S.r.l.","Carbognani","contains"
"Cargill","Cargill.com","contains"
"CARMEUSE GH","Carmeuse","contains"
"CARMEUSE GROUP","Carmeuse","contains"
"Carmeuse Majan Llc (Sfz)","Carmeuse","contains"
"Carmeuse Majjan LLC","Carmeuse","contains"
"CESUR BENELUX","Cesur Benelux BV","contains"
"Cesur Packaging Benelux B.V","Cesur Packaging","contains"
"Cesur Packaging Benelux Bv","Cesur Packaging","contains"
"CESUR PACKAGING BENELUX BV.","Cesur Packaging","contains"
"Cesur Packaging Bulgaria Ltd.","Cesur Packaging","contains"
"Cesur Packaging France","Cesur Packaging","contains"
"Cesur Packaging Scandinavia","Cesur Packaging","contains"
"Cesur Packaging Scandinavia AB","Cesur Packaging","contains"
"Cesur Packaging Scandinavia AB.","Cesur Packaging","contains"
"Cesur Packaging Sweden","Cesur Packaging","contains"
"CESUR PACKAGING UK LIMITED","Cesur Packaging","contains"
"CESUR","CESUR UK","contains"
"CESUR UK ELIF","CESUR UK","contains"
"CESUR USA LLC","Cesur USA","contains"
