"companyName","minOb","maxOb","cnt"
"HCP ENTERPRISE LIMITED","31-12-2023 00:00:00","31-12-2023 00:00:00","1"
"HCP Plastene Bulkpack Ltd","29-06-2022 00:00:00","29-06-2022 00:00:00","334"
"HCP Plastene Bulkpack Ltd (Unit - II)","31-12-2023 00:00:00","31-12-2023 00:00:00","7"
"HCP Plastene Bulkpack Ltd (Unit - III)","31-12-2023 00:00:00","31-12-2023 00:00:00","18"
"Jain Bulk Pack","31-12-2023 00:00:00","31-12-2023 00:00:00","1"
"K.P. WOVEN PRIVATE LIMITED","31-12-2025 00:00:00","31-12-2025 00:00:00","205"
"K.P. WOVEN PRIVATE LIMITED (UNIT-II)","31-12-2023 00:00:00","31-12-2023 00:00:00","20"
"K.P. WOVEN PRIVATE LIMITED (UNIT-II) NANICHIRAI","31-12-2023 00:00:00","31-12-2023 00:00:00","15"
"K.P. WOVEN PRIVATE LIMITED (UNIT-III)","31-12-2023 00:00:00","31-12-2023 00:00:00","33"
"Marudhar Polymers","31-03-2021 00:00:00","31-03-2021 00:00:00","35"
"Oswal Extrusion Limited","31-12-2023 00:00:00","31-12-2023 00:00:00","97"
"OSWAL EXTRUSION LIMITED (Unit VII)","31-12-2023 00:00:00","31-12-2023 00:00:00","14"
"Oswal Extrusion Limited (Unit-II)","31-12-2023 00:00:00","31-12-2023 00:00:00","2"
"Oswal Extrusion Limited (Unit-III)","31-12-2023 00:00:00","31-12-2023 00:00:00","17"
"Oswal Extrusion Limited (Unit-IV)","31-12-2023 00:00:00","31-12-2023 00:00:00","1"
"Parekh Bulk Pack","31-12-2023 00:00:00","31-12-2023 00:00:00","2"
"Plastene India Limited ","30-11-2023 00:00:00","30-11-2023 00:00:00","195"
"Plastene India Limited (Unit -II)","31-12-2023 00:00:00","31-12-2023 00:00:00","224"
"Plastene India Limited (Unit-IV)","31-12-2023 00:00:00","31-12-2023 00:00:00","6"
"Plastene India Limited (Unit-V)","31-12-2023 00:00:00","31-12-2023 00:00:00","9"
"Plastene India Limited (Unit-VI)","31-12-2023 00:00:00","31-12-2023 00:00:00","46"
"Plastene India Limited (Unit-VI)-2","31-12-2023 00:00:00","31-12-2023 00:00:00","3"
"Plastene India Limited (Unit-VIII)","31-12-2023 00:00:00","31-12-2023 00:00:00","11"
"Plastene India Limited - Maharashtra","31-12-2023 00:00:00","31-12-2023 00:00:00","2"
"Plastene Polyfilms Limited","31-03-2026 00:00:00","31-03-2026 00:00:00","208"
